site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
AMM,https://cdli.mpiwg-berlin.mpg.de/proveniences/669,2,,Maṭār ‘Ammān al-Madanī,مطار عمان المدني,,,,,,,uncertain (mod. Maṭār ‘Ammān al-Madanī),https://pleiades.stoa.org/places/859811421,,,,,,,,,,,35.9813,31.9713
ANS,https://cdli.mpiwg-berlin.mpg.de/proveniences/286,3,Anšan,Tal-i Malyān,,,تل ملیان,,,,,Anšan (mod. Tell Malyan),https://pleiades.stoa.org/places/922729,https://www.openstreetmap.org/node/3323694495,https://www.geonames.org/125047,https://en.wikipedia.org/wiki/Malyan%2C_Fars,,https://fa.wikipedia.org/wiki/ملیان_(بیضا),,,,,,52.4123,30.0119
ANT,https://cdli.mpiwg-berlin.mpg.de/proveniences/298,3,Pī-Kasî,Tall Abū ‘Antīk,تل أبو عنتيك,,,,,,,Pī-Kasî (mod. Tell Abu Antiq),https://pleiades.stoa.org/places/552857304,,,,,,,,,,,44.6393,32.1311
ANZ,https://cdli.mpiwg-berlin.mpg.de/proveniences/670,2,,Dereüstü,,,,,,,,uncertain (mod. Dereüstü),https://pleiades.stoa.org/places/192395067,https://www.openstreetmap.org/node/1860375427,https://www.geonames.org/316914,,,,,,,,https://wikidata.org/wiki/Q1914639,43.47,38.5563
APH,https://cdli.mpiwg-berlin.mpg.de/proveniences/10,3,Antipatris,Tel Afek,,,,,,תל אפק,,Antipatris (mod. Tel Aphek),https://pleiades.stoa.org/places/687996,https://www.openstreetmap.org/node/558583215,https://www.geonames.org/295746,https://en.wikipedia.org/wiki/Antipatris,,,,https://he.wikipedia.org/wiki/תל_אפק_(אנטיפטריס),,,https://wikidata.org/wiki/Q682612,34.9311,32.1053
AQA,https://cdli.mpiwg-berlin.mpg.de/proveniences/13,3,Dur-Kurigalzu,Tall ‘Aqarqūf,تل عقرقوف,,,,,,,Dur-Kurigalzu (mod. Aqar Quf),https://pleiades.stoa.org/places/893988,https://www.openstreetmap.org/node/2486175272,https://www.geonames.org/6647830,https://en.wikipedia.org/wiki/Dur-Kurigalzu,https://ar.wikipedia.org/wiki/زقورة_عقرقوف,,,,,,https://wikidata.org/wiki/Q622719,44.1888,33.3599
ARA,https://cdli.mpiwg-berlin.mpg.de/proveniences/671,1,,Aras,,,,,,,,uncertain (mod. Aras),https://pleiades.stoa.org/places/441249848,https://www.openstreetmap.org/node/2446149644,https://www.geonames.org/323694,,,,,,,,https://wikidata.org/wiki/Q111193910,42.3081,39.9893
ARI,https://cdli.mpiwg-berlin.mpg.de/proveniences/672,3,Erebuni,Arin Berd,,Արին բերդ,,,,,,Erebuni (mod. Arin Berd),https://pleiades.stoa.org/places/863785,https://www.openstreetmap.org/way/445380061,https://www.geonames.org/11336806,https://en.wikipedia.org/wiki/Erebuni_Fortress,,,,,,,https://wikidata.org/wiki/Q733610,44.5382,40.1404
ARK,https://cdli.mpiwg-berlin.mpg.de/proveniences/673,1,Arzaškun,Arinçkus,,,,,,,,Arzaškun (mod. Arinçkus),https://pleiades.stoa.org/places/658093017,https://www.openstreetmap.org/node/2291639337,,,,,,,https://tr.wikipedia.org/wiki/Arinçkus_Argişti_Steli,,,43.0669,38.8107
ARM,https://cdli.mpiwg-berlin.mpg.de/proveniences/674,3,Argištihinili,Armavir,,Արմավիր,,,,,,Argištihinili (mod. Armavir),https://pleiades.stoa.org/places/863745,https://www.openstreetmap.org/way/183430453,,https://en.wikipedia.org/wiki/Armavir_(ancient_city),,,,,,,https://wikidata.org/wiki/Q13052201,44.0334,40.0819
