site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
NUZ,222,3,Gasur,Yūrghān Tapah,يورغان تبة,,,,,,,Gasur (mod. Yorgan Tepe) : Nuzi (mod. Yorgan Tepe),https://pleiades.stoa.org/places/894054,https://www.openstreetmap.org/way/533930506,https://www.geonames.org/89610,https://en.wikipedia.org/wiki/Nuzi,https://ar.wikipedia.org/wiki/نوزي,,,,,,https://wikidata.org/wiki/Q584605,44.2546,35.3717
OJA,0,1,,Ojasar-Ilandağ,,,,,,,,,,,,,,,,,,,,45.6251,39.1370
ORD,0,2,,Ortadamla,,,,,,,,,,https://www.openstreetmap.org/node/2291750333,https://www.geonames.org/6970683,,,,,,,,,43.0496,39.2058
ORT,283,3,Sapinuwa,Ortaköy,,,,,,,,uncertain (mod. Ortaköy),https://pleiades.stoa.org/places/964671598,https://www.openstreetmap.org/way/242232762,,https://en.wikipedia.org/wiki/Sapinuwa,,,,,,,https://wikidata.org/wiki/Q3620,35.2375,40.2541
OTK,0,1,,Ortakent,,,,,,,,,,,,,,,,,,,,42.8815,41.2235
OYH,0,3,,Oylum Höyük,,,,,,,,,https://pleiades.stoa.org/places/275382665,https://www.openstreetmap.org/way/174871851,,,,,,,https://tr.wikipedia.org/wiki/Oylum_Höyük,,,37.1786,36.6988
OYM,0,3,Nerik,Oymaağaç Höyük,,,,,,,,,https://pleiades.stoa.org/places/785959742,https://www.openstreetmap.org/way/233250052,,https://en.wikipedia.org/wiki/Nerik,,,,,https://tr.wikipedia.org/wiki/Nerik,,https://wikidata.org/wiki/Q916681,35.4292,41.2076
OZB,64,3,,Ozbaki,,,,,,,,uncertain (mod. Ozbaki),,https://www.openstreetmap.org/way/346040742,,,,,,,,,,50.5866,35.9799
PAS,396,3,Pašime,Tall Abū Shījah,تل أبو شيجة,,,,,,,Pašime (mod. Tell Abu Sheeja),https://pleiades.stoa.org/places/108542249,https://www.openstreetmap.org/way/654581393,,https://en.wikipedia.org/wiki/Pashime,,,,,,,,47.1479,32.3944
PAT,0,1,,Patnos,,,,,,,,,https://pleiades.stoa.org/places/874529,https://www.openstreetmap.org/node/127600285,https://www.geonames.org/302819,https://en.wikipedia.org/wiki/Patnos,,,,,https://tr.wikipedia.org/wiki/Patnos,,,42.8640,39.2332
PDK,112 : 443,1,Padakku,Al-Ḥāīṭ,الحايط,,,,,,,"uncertain (mod. Padakka/Ha'it, Saudi Arabia) : uncertain (mod. al Ḥā'iṭ Saudi Arabia)",https://pleiades.stoa.org/places/982176368,,,,,,,,,,,40.4668,25.9786
PEL,0,3,,Ṭabaqat Faḥl,طبقة فحل,,,,,,,,https://pleiades.stoa.org/places/678326,https://www.openstreetmap.org/way/769451030,https://www.geonames.org/11396035,https://en.wikipedia.org/wiki/Pella%2C_Jordan,https://ar.wikipedia.org/wiki/طبقة_فحل_(إربد),,,,,,https://wikidata.org/wiki/Q167993,35.6130,32.4501
PHG,0,3,,Fanagorii͡a,,,,,,,Фанагория,,https://pleiades.stoa.org/places/854724,https://www.openstreetmap.org/node/1165252854,,https://en.wikipedia.org/wiki/Phanagoria,,,,,,,https://wikidata.org/wiki/Q1344411,36.9584,45.2759
PHU,246,3,,Pir Hüseyin,,,,,,,,uncertain (mod. Pir Huseyin),,https://www.openstreetmap.org/way/363579097,,,,,,,,http://publikationen.badw.de/de/rla/index#9639,,40.3875,38.1113
PIR,0,1,,Pirabat,,,,,,,,,,https://www.openstreetmap.org/node/2292400154,https://www.geonames.org/302613,,,,,,,,,42.5843,39.7530
PLU,0,2,,Palu,,,,,,,,,https://pleiades.stoa.org/places/874383,https://www.openstreetmap.org/node/2279983498,,,,,,,,,,39.9535,38.7023
PRA,27,1,,Bārah,بارة,,,,,,,uncertain (mod. Pāra),https://pleiades.stoa.org/places/914118847,https://www.openstreetmap.org/node/2488220303,https://www.geonames.org/97982,,,,,,,,,41.4851,36.3757
PRS,92,3,Pārśa,Takht-i Jamshīd,,,تخت جمشید,,,,,Pārśa (mod. Persepolis),https://pleiades.stoa.org/places/922695,https://www.openstreetmap.org/way/95531795,https://www.geonames.org/110836,https://en.wikipedia.org/wiki/Persepolis,,https://fa.wikipedia.org/wiki/تخت_جمشید,,,,,https://wikidata.org/wiki/Q129072,52.8925,29.9343
PSG,198,3,,Pasargad,,,پاسارگاد,,,,,Tall-I Takht (mod. Pasargadae),https://pleiades.stoa.org/places/922693,https://www.openstreetmap.org/way/203395269,https://www.geonames.org/121340,https://en.wikipedia.org/wiki/Pasargadae,,https://fa.wikipedia.org/wiki/پاسارگاد,,,,,https://wikidata.org/wiki/Q230025,53.1768,30.2008
QAB,0,3,,Tall Qabr Abu al-’Atīq,تل قبر ابو العتيق,,,,,,,,,,,,,,,,,,,39.7854,35.7630
QAI,0,1,,Qal‘ah Imam,,,قلعه ایمام,,,,,,,https://www.openstreetmap.org/node/2216153573,,,,,,,,,,46.1798,35.4880
QAL,0,1,,Qalatgah,,,,,,,,,https://pleiades.stoa.org/places/874652,,,,,,,,,,,45.2208,37.0353
