site_id,accuracy,cdli_provenience_id,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
TTU,2,0,,Dicle Tüneli,,,,,,,,,,,https://www.geonames.org/6611419,https://en.wikipedia.org/wiki/Tigris_tunnel,,,,,https://tr.wikipedia.org/wiki/Dicle_T%C3%BCneli,,https://wikidata.org/wiki/Q1329616,40.5490,38.5291
TUH,1,0,,Ṭulūl al-Ḥumr,Unknown,,,,,,,,,,,,,,,,,,,45.2872,31.8567
TUT,3,26,Tuttul,Tall al-Bīʻa,تل البيعة,,,,,,,Tuttul (mod. Tell Bi'a),https://pleiades.stoa.org/places/582993625,https://www.openstreetmap.org/node/226859670,https://www.geonames.org/171471,https://en.wikipedia.org/wiki/Tuttul,https://ar.wikipedia.org/wiki/تل_البيعة,,,,,,https://wikidata.org/wiki/Q657272,39.0471,35.9580
TVI,1,429,,Tankīwar,,,تنگي ور‎,,,,,uncertain (mod. Tang-i Var),https://pleiades.stoa.org/places/429,https://www.openstreetmap.org/node/3015540886,https://www.geonames.org/113324,https://en.wikipedia.org/wiki/Tangivar,,https://fa.wikipedia.org/wiki/تنگی_ور,,,,,,46.6182,34.9961
TVK,1,0,,Tsovak,,Ծովակ,,,,,,,,https://www.openstreetmap.org/way/498207843,https://www.geonames.org/616138,https://en.wikipedia.org/wiki/Tsovak,,,,,,,,45.6391,40.1823
TYA,3,0,Malgium,Tulūl Yassir,,,,,,,,Malgium (Tell Yassir),,,,https://en.wikipedia.org/wiki/Malgium,,,,,,,,45.0983,32.5612
TYM,3,402,,Ṭaymā,تيما,,,,,,,Tema (mod. Tayma),https://pleiades.stoa.org/places/814739,https://www.openstreetmap.org/node/1237942492,https://www.geonames.org/101516,https://en.wikipedia.org/wiki/Tayma,https://ar.wikipedia.org/wiki/محافظة_تيماء,,,,,,https://wikidata.org/wiki/Q27365,38.5499,27.6219
TYR,2,0,,Ṣūr,صور,,,,,,,,https://pleiades.stoa.org/places/678437,https://www.openstreetmap.org/node/803018184,https://www.geonames.org/267008,https://sv.wikipedia.org/wiki/Tyros,https://ar.wikipedia.org/wiki/صور_(لبنان),,,,,,https://wikidata.org/wiki/Q82070,35.1943,33.2706
TZW,1,0,,Ṭūbzāwah,طوبزاوة,,,,,,,,,https://www.openstreetmap.org/node/2488199589,https://www.geonames.org/90109,,,,,,,,,44.6979,36.8079
UBD,3,226,,Tall al-ʻUbaīd,تل العبيد,,,,,,,uncertain (mod. Tell Ubaid),https://pleiades.stoa.org/places/339709658,https://www.openstreetmap.org/node/5179254511,,https://en.wikipedia.org/wiki/Tell_al-%27Ubaid,https://ar.wikipedia.org/wiki/تل_العبيد,,,,,http://publikationen.badw.de/de/rla/index#11937,https://wikidata.org/wiki/Q1317854,46.0305,30.9722
UCH,3,278,,Tall al-Majātil,تل المجاتل,,,,,,,uncertain (mod. Umm Chatil),,https://www.openstreetmap.org/node/2485672526,https://www.geonames.org/7011811,,,,,,,,,46.5784,31.3901
